Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2020-11-06,94222.0,94222.0,92889.0,93422.0,666934,VND,1333.0,800.0,92850.85714285714,91517.57142857143,89346.23809523809,1770.3859681405183,3971.517492152731
2020-11-09,93422.0,94400.0,93067.0,94311.0,904140,VND,1333.0,-889.0,93536.57142857143,92044.57142857143,89875.33333333333,1040.155574443509,3850.018601686514
2020-11-10,94667.0,95289.0,93867.0,93867.0,879727,VND,1422.0,800.0,93422.28571428571,92571.57142857143,90370.57142857143,933.7583046093202,3648.0752126486695
2020-11-11,93867.0,94222.0,91556.0,94045.0,1161877,VND,2666.0,-178.0,93333.42857142857,92933.5,90865.80952380953,817.9871346049796,3385.902340869192
2020-11-12,94045.0,94933.0,93333.0,94933.0,767992,VND,1600.0,-888.0,93638.14285714286,93111.21428571429,91365.23809523809,969.4280837287941,3157.245079254197
2020-11-13,94933.0,96000.0,94311.0,95467.0,602269,VND,1689.0,-534.0,94133.42857142857,93257.28571428571,91784.28571428571,873.9561120059151,3085.6710800544374
2020-11-16,95467.0,96445.0,88889.0,90667.0,2004525,VND,7556.0,4800.0,93816.0,93022.35714285714,91970.52380952382,1546.2316557785216,2878.0515391325685
2020-11-17,91556.0,94222.0,90845.0,94222.0,970110,VND,3377.0,-2666.0,93930.28571428571,93390.57142857143,92321.80952380953,1541.8152412314123,2663.3656267781394
2020-11-18,94222.0,94222.0,91556.0,93245.0,845179,VND,2666.0,977.0,93778.0,93657.28571428571,92622.38095238095,1550.5645208541287,2364.1714717036853
2020-11-19,93156.0,93156.0,91556.0,92445.0,1341787,VND,1600.0,711.0,93574.85714285714,93498.57142857143,92906.0,1628.1687492974318,1904.074604630422
2020-11-20,92889.0,92889.0,91911.0,92267.0,600570,VND,978.0,622.0,93320.85714285714,93327.14285714286,93062.61904761905,1680.448593735851,1687.8095116503905
2020-11-23,92445.0,93422.0,91645.0,92267.0,827606,VND,1777.0,178.0,92940.0,93289.07142857143,93054.14285714286,1551.3268514398833,1691.5091866643563
2020-11-24,92356.0,93333.0,91645.0,92445.0,913747,VND,1688.0,-89.0,92508.28571428571,93320.85714285714,93007.61904761905,1079.6871019391183,1694.3191693472445
2020-11-25,92533.0,94400.0,92533.0,93867.0,1375301,VND,1867.0,-1334.0,92965.42857142857,93390.71428571429,93003.38095238095,815.1952439217661,1691.937956196248
2020-11-26,93333.0,94400.0,92889.0,94311.0,613631,VND,1511.0,-978.0,92978.14285714286,93454.21428571429,93253.09523809524,838.4230094979059,1451.866932771269
2020-11-27,94222.0,94311.0,93156.0,93511.0,810934,VND,1155.0,711.0,93016.14285714286,93397.07142857143,93443.57142857143,858.3253906234245,1171.7441090704476
2020-11-30,93511.0,93778.0,92267.0,92356.0,1796445,VND,1511.0,1155.0,93003.42857142857,93289.14285714286,93333.52380952382,868.7910867287552,1159.5559330636936
2020-12-01,91556.0,93333.0,91378.0,93333.0,1072384,VND,1955.0,-1777.0,93155.71428571429,93238.28571428571,93270.0,809.6029303061255,1118.671086601624
2020-12-02,93245.0,93778.0,92622.0,93333.0,560149,VND,1156.0,-88.0,93308.0,93124.0,93295.38095238095,708.5221709057596,1113.5088897792884
2020-12-03,93333.0,94045.0,92711.0,94045.0,823219,VND,1334.0,-712.0,93536.57142857143,93022.42857142857,93392.76190476191,638.3191096251194,1083.5777270111448
2020-12-04,94045.0,94667.0,92889.0,94045.0,896692,VND,1778.0,0.0,93562.0,93263.71428571429,93447.80952380953,656.9497697680677,1086.0666931193527
2020-12-07,94222.0,94222.0,93422.0,94045.0,763492,VND,800.0,177.0,93524.0,93251.07142857143,93477.47619047618,612.6007400134181,1093.8076896343362
2020-12-08,94045.0,94045.0,93156.0,93333.0,840690,VND,889.0,712.0,93498.57142857143,93257.35714285714,93430.90476190476,616.9094631407504,1077.238827036343
2020-12-09,93333.0,94222.0,92800.0,94222.0,888514,VND,1422.0,-889.0,93765.14285714286,93384.28571428571,93447.80952380953,409.0478491025748,1087.1642294994838
2020-12-10,94222.0,95111.0,93245.0,93245.0,1101994,VND,1866.0,977.0,93752.57142857143,93454.14285714286,93409.71428571429,425.5615337949609,1079.178861118101
2020-12-11,93245.0,94933.0,93245.0,94933.0,640530,VND,1688.0,-1688.0,93981.14285714286,93644.57142857143,93409.71428571429,568.3708966764187,1079.178861118101
2020-12-14,94845.0,96800.0,93778.0,96800.0,1262677,VND,3022.0,-1955.0,94374.71428571429,93955.64285714286,93473.19047619047,1210.775332074515,1234.2920893788496
2020-12-15,96800.0,96800.0,94845.0,95111.0,1356412,VND,1955.0,1689.0,94527.0,94044.5,93684.80952380953,1229.290445744307,1103.1051454431683
2020-12-16,94933.0,95200.0,94133.0,95111.0,850725,VND,1067.0,-178.0,94679.28571428571,94101.64285714286,93727.14285714286,1225.651216602884,1141.1535955207153
2020-12-17,95111.0,95111.0,92978.0,93067.0,1521652,VND,2133.0,2044.0,94641.28571428571,94069.92857142857,93718.66666666667,1277.3799636078531,1145.5664246702424
2020-12-18,93067.0,94311.0,92889.0,93067.0,1519627,VND,1422.0,0.0,94476.28571428571,94120.71428571429,93748.28571428571,1408.438699918039,1118.715072877871
2020-12-21,93778.0,94578.0,93245.0,94578.0,660487,VND,1333.0,-800.0,94666.71428571429,94209.64285714286,93858.33333333333,1300.1690549412406,1078.6650700434059
2020-12-22,94222.0,95556.0,93600.0,93956.0,583110,VND,1956.0,266.0,94527.14285714286,94254.14285714286,93938.76190476191,1319.1210998951967,1015.1778122450232
2020-12-23,93956.0,95111.0,93689.0,93956.0,789109,VND,1422.0,0.0,94120.85714285714,94247.78571428571,94010.71428571429,860.7487880843877,955.8235267475403
2020-12-24,95111.0,95111.0,92445.0,93956.0,935370,VND,2666.0,1155.0,93955.85714285714,94241.42857142857,94014.95238095238,741.7940928510785,955.3516355863104
2020-12-25,93956.0,94578.0,93333.0,94133.0,416587,VND,1245.0,-177.0,93816.14285714286,94247.71428571429,94006.47619047618,557.0659531767897,953.3812783473114
2020-12-28,94133.0,94756.0,93689.0,94133.0,800674,VND,1067.0,0.0,93968.42857142857,94304.85714285714,94036.09523809524,454.382679077778,946.8581152815759
2020-12-29,94311.0,94756.0,94045.0,94667.0,688905,VND,711.0,-356.0,94197.0,94336.64285714286,94146.14285714286,302.35078964386736,873.2641802855533
2020-12-30,94845.0,97422.0,94845.0,96445.0,1720069,VND,2577.0,-1600.0,94463.71428571429,94565.21428571429,94294.33333333333,909.1097686345865,985.2456715620131
2020-12-31,96445.0,97156.0,93778.0,96178.0,738045,VND,3378.0,267.0,94781.14285714286,94654.14285714286,94429.80952380953,1075.0627002747574,1040.4996212892597
2021-01-04,96445.0,96889.0,94667.0,96000.0,1114987,VND,2222.0,445.0,95073.14285714286,94597.0,94522.90476190476,1091.0593366947098,1090.6009308975074
2021-01-05,95289.0,97689.0,95289.0,97511.0,1341225,VND,2400.0,-2222.0,95581.0,94768.42857142857,94687.95238095238,1293.0693459097702,1263.2591371596511
2021-01-06,97778.0,98222.0,96800.0,97956.0,1443375,VND,1422.0,-178.0,96127.14285714286,94971.64285714286,94874.19047619047,1383.7260601441162,1439.7021087374421
2021-01-07,98133.0,98667.0,96889.0,97867.0,970087,VND,1778.0,266.0,96660.57142857143,95314.5,95090.09523809524,1193.5145379839619,1533.9095770202496
2021-01-08,97867.0,100178.0,97867.0,99378.0,1517287,VND,2311.0,-1511.0,97333.57142857143,95765.28571428571,95335.61904761905,1210.1273840849858,1780.7889958154142
2021-01-11,100267.0,101867.0,100267.0,101156.0,1728787,VND,1600.0,-889.0,98006.57142857143,96235.14285714286,95712.33333333333,1799.8772048056524,2120.7327585840503
2021-01-12,103111.0,103111.0,101067.0,101689.0,1103737,VND,2044.0,1422.0,98793.85714285714,96787.5,96034.04761904762,2054.07005954564,2478.80849353418
2021-01-13,101689.0,101867.0,98756.0,98756.0,1392637,VND,3111.0,2933.0,99187.57142857143,97130.35714285714,96127.19047619047,1654.5866409405578,2544.8967094762206
2021-01-14,99111.0,99822.0,97778.0,98133.0,1618987,VND,2044.0,978.0,99276.42857142857,97428.71428571429,96271.09523809524,1563.7509240217748,2569.8806763105376
2021-01-15,99022.0,99733.0,97600.0,98845.0,1392750,VND,2133.0,177.0,99403.42857142857,97765.28571428571,96448.90476190476,1472.050594367923,2614.3924515026974
2021-01-18,99556.0,99645.0,97867.0,98045.0,930262,VND,1778.0,1511.0,99428.85714285714,98044.71428571429,96685.95238095238,1442.3237533653166,2516.2588792922543
2021-01-19,98045.0,98045.0,91200.0,91289.0,1538550,VND,6845.0,6756.0,98273.28571428571,97803.42857142857,96601.28571428571,3400.7121173013065,2669.3718014326505
