Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-08-11,10000.0,10200.0,8700.0,9800.0,33900,VND,1500.0,200.0,9700.0,10150.0,10252.380952380952,469.04157598228636,980.6217658297347
2016-08-12,9700.0,10000.0,9700.0,10000.0,21500,VND,300.0,-300.0,9700.0,10128.57142857143,10300.0,469.04157598228636,940.2127418834419
2016-08-15,9300.0,10100.0,9300.0,10100.0,2900,VND,800.0,-800.0,9800.0,10014.285714285714,10371.42857142857,469.04157598228676,857.9876788992004
2016-08-16,9100.0,9300.0,9000.0,9300.0,15900,VND,300.0,-200.0,9828.57142857143,9885.714285714286,10338.095238095239,423.1401884099009,886.2709464244953
2016-08-17,9200.0,9700.0,9000.0,9700.0,22400,VND,700.0,-500.0,9771.42857142857,9807.142857142857,10309.52380952381,407.08019567922076,897.1648465609549
2016-08-18,9200.0,9200.0,9100.0,9200.0,12900,VND,100.0,0.0,9614.285714285714,9750.0,10190.47619047619,380.4758924844658,868.8525547552593
2016-08-19,9200.0,9200.0,9100.0,9200.0,14900,VND,100.0,0.0,9614.285714285714,9671.42857142857,10028.57142857143,380.4758924844658,697.239454665924
2016-08-22,9000.0,9000.0,9000.0,9000.0,4300,VND,0.0,0.0,9500.0,9600.0,9933.333333333334,432.0493798937942,694.5022198188502
2016-08-23,9500.0,9900.0,9500.0,9500.0,2300,VND,400.0,0.0,9428.57142857143,9564.285714285714,9895.238095238095,372.8908942942482,695.3245216991612
2016-08-24,9300.0,9300.0,9000.0,9100.0,51100,VND,300.0,200.0,9285.714285714286,9542.857142857143,9771.42857142857,241.02953780643247,579.7782827450793
2016-08-25,9100.0,9300.0,9100.0,9100.0,2300,VND,200.0,0.0,9257.142857142857,9542.857142857143,9676.190476190477,250.71326821109247,510.788372914593
2016-08-26,9400.0,9400.0,9100.0,9100.0,8800,VND,300.0,300.0,9171.42857142857,9471.42857142857,9595.238095238095,160.3567451472806,455.4955438598334
2016-08-29,9100.0,9200.0,9100.0,9200.0,4000,VND,100.0,-100.0,9171.42857142857,9392.857142857143,9557.142857142857,160.3567451472806,453.39985506327986
2016-08-30,9000.0,9300.0,9000.0,9300.0,14000,VND,300.0,-300.0,9185.714285714286,9400.0,9509.52380952381,167.61634196933875,422.97134879887096
2016-08-31,9200.0,9200.0,9200.0,9200.0,1000,VND,0.0,0.0,9214.285714285714,9357.142857142857,9471.42857142857,146.38501094208982,412.4837659142856
2016-09-01,8800.0,9100.0,8800.0,9100.0,3700,VND,300.0,-300.0,9157.142857142857,9292.857142857143,9428.57142857143,78.67957924658867,401.4260294784468
